Số chứng từ,Ngày tạo,Người tạo,Loại kế hoạch,Ghi chú 1,Mã vật tư,Tên vật tư,Đvt 1,Số lượng (1),HSQĐ,Đvt 2,Số lượng (2),Ghi chú 2,Mục đích sử dụng,Ngày sử dụng
EP2312-0053,12/15/2023,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200107360000000,Cap Kuda (Yellow Horse - Wanton),CM2,10000,1,CM2,10000,,,12/19/2023
EP2406-0095,6/28/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su.,5200107370000000,Cap Rusa,CM2,10000,1,CM2,10000,,,7/1/2024
EP2311-0072,11/24/2023,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200113000000000,UNIBEN-BỘT MÌ,CM2,10000,1,CM2,10000,,,11/25/2023
EP2401-0098,1/25/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200115000000000,HANWA,CM2,10000,1,CM2,10000,,,1/26/2024
EP2304-0010,4/5/2023,,Theo bộ phận,FILE KHẮC DING LI - JUMBO (KHẮC NGHỊCH 5MM )-SO2303-0052,5200118000000000,DING LIN ( JUMBO),CM2,10,1,CM2,10,,,4/8/2023
EP2402-0007,2/1/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200118000000000,DING LIN ( JUMBO),CM2,5000,1,CM2,5000,,,2/3/2024
EP2304-0048,4/14/2023,,Theo bộ phận,KHẮC DING LI - JUMBO (KHẮC NGHỊCH 4MM )-SO2303-0052,5200118000000000,DING LIN ( JUMBO),CM2,10,1,CM2,10,,,4/16/2023
EP2401-0054,1/16/2024,Vũ Đức Hoàng,Theo tháng,Bang keo phục vụ sản xuất PX BTP T1/2024,0917400010000000,BĂNG KEO VÀNG DÁN THÙNG.,M,200,1,M,200,Mua 200 cuộn,"Dùng BP thổi/ hấp, cắt",1/16/2024
EP2304-0031,4/10/2023,,Theo bộ phận,"Mua nvl cho đơn hàng Thiên Ân SO2303-0052, SO2304-0003",10TEM-TC002-01-0000,Tem bao Jumbo TC002-01-0000 (THIEN AN),CAI,4.1,1,CAI,4.1,,,4/15/2023
EP2304-0031,4/10/2023,,Theo bộ phận,"Mua nvl cho đơn hàng Thiên Ân SO2303-0052, SO2304-0003",10ZIP-TC002-01-0000,"Túi tài liệu Ziplock PE, W x L = 25cm x 35cm, TL: 13g/cái.",CAI,4.1,0.013,KG,53.3,,,4/15/2023
EP2401-0053,1/16/2024,Nguyễn Dũng Trung,Theo bộ phận,"SO2401-0032 - MINH ANH
SO2401-0034 - UNIPACK
SO2401-0036 - UNIPACK
SO2401-0035 - THIÊN ÂN",10ZIP-TC002-01-0000,"Túi tài liệu Ziplock PE, W x L = 25cm x 35cm, TL: 13g/cái.",CAI,2030,0.013,KG,26.39,SO2401-0035 - THIÊN ÂN,,1/26/2024
EP2311-0063,11/22/2023,Nguyễn Dũng Trung,Theo bộ phận,SO2311-0029 - Thiên Ân,10ZIP-TC002-01-0000,"Túi tài liệu Ziplock PE, W x L = 25cm x 35cm, TL: 13g/cái.",CAI,1000,0.013,KG,13,SO2311-0029 - Thiên Ân,,11/27/2023
EP2401-0104,1/26/2024,Nguyễn Dũng Trung,Theo bộ phận,SO2401-0035 - THIÊN ÂN,10ZIP-TC002-01-0000,"Túi tài liệu Ziplock PE, W x L = 25cm x 35cm, TL: 13g/cái.",CAI,2000,0.013,KG,26,SO2401-0035 - THIÊN ÂN,,2/19/2024
EP2304-0108,4/28/2023,,Theo bộ phận,Dongwon (Jumbo) - SO2304-0005,HAT-BEIGE-EMH66125A,Hạt màu beige EMH66125A.,KG,475,1,KG,475,,,5/12/2023
EP2402-0013,2/20/2024,Nguyễn Dũng Trung,Theo bộ phận,"Chỉ may 900D
Hạt UV",HAT-BLUEMPP3007,Hạt màu xanh da trời blue MPP 3007,KG,25,1,KG,25,SO2402-0006 - DONGWON,,2/24/2024
EP2405-0072,5/23/2024,Nguyễn Dũng Trung,Theo bộ phận,Hạt màu cam 33102B,HAT-CAM-33102B,Hạt màu cam 33102B,KG,300,1,KG,300,SO2405-0027,,5/27/2024
EP2311-0028,11/13/2023,Nguyễn Dũng Trung,Theo bộ phận,"SO2311-0007 - UNIPACK
SO2311-0016 - DONGWON",HAT-CAM-33102B,Hạt màu cam 33102B,KG,450,1,KG,450,SO2311-0016 - DONGWON,,11/16/2023
EP2309-0058,9/15/2023,Nguyễn Dũng Trung,Theo bộ phận,"SO2309-0035 - AGRIFEED
DONGWON DỆT BỔ SUNG
SO2309-0030 - DONGWON
JUNIPACK + TỒN",HAT-CAM-33102B,Hạt màu cam 33102B,KG,425,1,KG,425,DONGWON DỆT BỔ SUNG,,9/19/2023
EP2308-0080,8/23/2023,Nguyễn Dũng Trung,Theo bộ phận,DONGWON - PO8 - PO9 - PO10 - PO11 - PO12,HAT-CAM-33102B,Hạt màu cam 33102B,KG,75,1,KG,75,DONGWON - PO8 - PO9,,8/28/2023
EP2308-0067,8/18/2023,Nguyễn Dũng Trung,Theo bộ phận,HANWA - HARVEST - SANPOLY - HALSTON - TƯ TRÚC - MATANG - DONGWON,HAT-CAM-33102B,Hạt màu cam 33102B,KG,25,1,KG,25,DONGWON - PO8 - PO9,,8/23/2022
EP2307-0094,7/31/2023,Nguyễn Dũng Trung,Theo bộ phận,DONGWON [SO TỔNG],HAT-CAM-33102B,Hạt màu cam 33102B,KG,25,1,KG,25,SO2307-0065 - DONGWON [SO TỔNG],,8/7/2023
EP2307-0094,7/31/2023,Nguyễn Dũng Trung,Theo bộ phận,DONGWON [SO TỔNG],HAT-CAM-33102B,Hạt màu cam 33102B,KG,450,1,KG,450,SO2307-0075 - DONGWON [SO TỔNG],,8/7/2023
EP2305-0054,5/15/2023,Nguyễn Dũng Trung,Theo bộ phận,SO2305-0011 - DONGWON -  Hạt màu,HAT-CAM-33102B,Hạt màu cam 33102B,KG,500,1,KG,500,SO2305-0011 + SO2303-0006,,5/22/2023
EP2305-0054,5/15/2023,Nguyễn Dũng Trung,Theo bộ phận,SO2305-0011 - DONGWON -  Hạt màu,HAT-CAM-33102B,Hạt màu cam 33102B,KG,500,1,KG,500,SO2305-0011,,5/29/2023
EP2305-0054,5/15/2023,Nguyễn Dũng Trung,Theo bộ phận,SO2305-0011 - DONGWON -  Hạt màu,HAT-CAM-33102B,Hạt màu cam 33102B,KG,500,1,KG,500,SO2305-0011,,6/5/2023
EP2305-0054,5/15/2023,Nguyễn Dũng Trung,Theo bộ phận,SO2305-0011 - DONGWON -  Hạt màu,HAT-CAM-33102B,Hạt màu cam 33102B,KG,500,1,KG,500,SO2305-0011,,6/12/2023
EP2305-0054,5/15/2023,Nguyễn Dũng Trung,Theo bộ phận,SO2305-0011 - DONGWON -  Hạt màu,HAT-CAM-33102B,Hạt màu cam 33102B,KG,500,1,KG,500,SO2305-0011,,6/19/2023
EP2305-0054,5/15/2023,Nguyễn Dũng Trung,Theo bộ phận,SO2305-0011 - DONGWON -  Hạt màu,HAT-CAM-33102B,Hạt màu cam 33102B,KG,500,1,KG,500,SO2305-0011,,6/26/2023
EP2305-0054,5/15/2023,Nguyễn Dũng Trung,Theo bộ phận,SO2305-0011 - DONGWON -  Hạt màu,HAT-CAM-33102B,Hạt màu cam 33102B,KG,300,1,KG,300,SO2305-0011,,7/3/2023
EP2304-0096,4/26/2023,,Theo bộ phận,Xử lý nhập kho hạt màu đã mua về nhà máy.,HAT-CAM-33102B,Hạt màu cam 33102B,KG,412.5,1,KG,412.5,,,5/5/2023
EP2406-0096,6/29/2024,Nguyễn Dũng Trung,Theo bộ phận,SO2406-0015 + PO TỔNG DW,HAT-CAM-33102B,Hạt màu cam 33102B,KG,1100,1,KG,1100,SO2406-0015 + PO TỔNG DW,,7/5/2024
EP2407-0058,7/16/2024,Nguyễn Dũng Trung,Theo bộ phận,"Hạt màu cam 33102B
Hạt màu vàng EMH 22269 (Châu Âu)",HAT-CAM-33102B,Hạt màu cam 33102B,KG,300,1,KG,300,SO2405-0027,,7/23/2024
EP2406-0005,6/5/2024,Nguyễn Dũng Trung,Theo bộ phận,DW - PO TỔNG,HAT-CAM-33102B,Hạt màu cam 33102B,KG,1000,1,KG,1000,DW - PO TỔNG,,6/8/2024
EP2304-0050,4/14/2023,,Theo bộ phận,Mua hạt màu cho đơn hàng Sài Gòn Xanh,HAT-CAM-EMH33113,Hạt màu cam EMH33113.,KG,203.5,1,KG,203.5,,,4/25/2023
EP2304-0050,4/14/2023,,Theo bộ phận,Mua hạt màu cho đơn hàng Sài Gòn Xanh,HAT-CAM-EMH33113,Hạt màu cam EMH33113.,KG,1,1,KG,1,,,4/30/2023
EP2305-0097,5/24/2023,Nguyễn Dũng Trung,Theo bộ phận,"MP2305-0051 (SO2305-0034) - Sài Gòn Xanh
SO2305-0027 - Dongwon
SO2305-0014 - Tauplene
SO2305-0004 - Tauplene
SO2305-0007 - T",HAT-CAM-EMH33113,Hạt màu cam EMH33113.,KG,750,1,KG,750,MP2305-0051 (SO2305-0034),,5/29/2023
EP2309-0115,9/30/2023,Nguyễn Dũng Trung,Theo bộ phận,HẠT MÀU SÀI GÒN XANH,HAT-CAM-EMH33113,Hạt màu cam EMH33113.,KG,300,1,KG,300,SÀI GÒN XANH,,10/5/2023
EP2312-0015,12/5/2023,Nguyễn Dũng Trung,Theo bộ phận,HẠT MÀU + PHỤ DA,HAT-CAM-EMH33113,Hạt màu cam EMH33113.,KG,300,1,KG,300,TỒN KHO CHỜ SGX,,12/11/2023
EP2405-0013,5/4/2024,Nguyễn Dũng Trung,Theo bộ phận,Hạt màu cam EMH33113.,HAT-CAM-EMH33113,Hạt màu cam EMH33113.,KG,600,1,KG,600,TỒN KHO - SGX,,5/11/2024
EP2304-0096,4/26/2023,,Theo bộ phận,Xử lý nhập kho hạt màu đã mua về nhà máy.,HAT-CAM-EMH33113B,Hạt màu cam EMH33113B ( hạt màu của Thiệu Trinh),KG,200,1,KG,200,,,5/5/2023
EP2304-0108,4/28/2023,,Theo bộ phận,Dongwon (Jumbo) - SO2304-0005,HAT-DUONG-EMH7016,"Hạt màu xanh dương, EMH7016 (EUP)",KG,150,1,KG,150,,,5/12/2023
EP2404-0023,4/8/2024,Nguyễn Dũng Trung,Theo bộ phận,"Hạt màu xanh dương, EMH7016 (EUP)
DÂY CỘT BAO",HAT-DUONG-EMH7016,"Hạt màu xanh dương, EMH7016 (EUP)",KG,50,1,KG,50,SO2401-0046 - PERU,,4/10/2024
EP2312-0015,12/5/2023,Nguyễn Dũng Trung,Theo bộ phận,HẠT MÀU + PHỤ DA,HAT-DUONG-EMH7016,"Hạt màu xanh dương, EMH7016 (EUP)",KG,325,1,KG,325,"SO2311-0039-PERU
SO2312-0001-PERU
SO2312-0002-PERU",,12/15/2023
EP2312-0046,12/14/2023,Nguyễn Dũng Trung,Theo bộ phận,"PERU 6 CONT ( 3 CUỘN, 3 BAO)
HANWA",HAT-DUONG-EMH7016,"Hạt màu xanh dương, EMH7016 (EUP)",KG,125,1,KG,125,PERU,,12/20/2023
EP2309-0089,9/22/2023,Nguyễn Dũng Trung,Theo bộ phận,"HẠT MÀU
3 CONT TÚI PERU
SO2309-0051
SO2309-0052
SO2309-0053",HAT-DUONG-EMH7016,"Hạt màu xanh dương, EMH7016 (EUP)",KG,150,1,KG,150,3 CONT TÚI PERU,,9/29/2023
EP2307-0081,7/26/2023,Nguyễn Dũng Trung,Theo bộ phận,"HALSTON
PERU",HAT-DUONG-EMH7016,"Hạt màu xanh dương, EMH7016 (EUP)",KG,50,1,KG,50,SO2307-0047 - PERU TÚI,,8/4/2023
EP2305-0097,5/24/2023,Nguyễn Dũng Trung,Theo bộ phận,"MP2305-0051 (SO2305-0034) - Sài Gòn Xanh
SO2305-0027 - Dongwon
SO2305-0014 - Tauplene
SO2305-0004 - Tauplene
SO2305-0007 - T",HAT-DUONG-EMH7016,"Hạt màu xanh dương, EMH7016 (EUP)",KG,20,1,KG,20,SO2305-0027,,6/2/2023
EP2306-0031,6/8/2023,Nguyễn Dũng Trung,Theo bộ phận,"SO2303-0010
SO2304-0005
SO2305-0027",HAT-DUONG-EMH7016,"Hạt màu xanh dương, EMH7016 (EUP)",KG,25,1,KG,25,SO2303-0010,,6/12/2023
EP2306-0031,6/8/2023,Nguyễn Dũng Trung,Theo bộ phận,"SO2303-0010
SO2304-0005
SO2305-0027",HAT-DUONG-EMH7016,"Hạt màu xanh dương, EMH7016 (EUP)",KG,150,1,KG,150,SO2304-0005,,6/12/2023
EP2306-0031,6/8/2023,Nguyễn Dũng Trung,Theo bộ phận,"SO2303-0010
SO2304-0005
SO2305-0027",HAT-DUONG-EMH7016,"Hạt màu xanh dương, EMH7016 (EUP)",KG,25,1,KG,25,SO2305-0027,,6/12/2023
EP2307-0035,7/12/2023,Nguyễn Dũng Trung,Theo bộ phận,PERU TÚI 3 CONT THÁNG 08,HAT-DUONG-EMH7016,"Hạt màu xanh dương, EMH7016 (EUP)",KG,250,1,KG,250,PERU TÚI 3 CONT THÁNG 08,,7/18/2023
EP2308-0043,8/14/2023,Nguyễn Dũng Trung,Theo bộ phận,"SO2307-0075 - DONGWON - ĐẶT SLCL
SO2308-0021 - KIỀU VĂN LỊCH",HAT-EMH-22103A,"Hạt màu vàng, châu Âu, 22103A.",KG,850,1,KG,850,SO2308-0021 - KIỀU VĂN LỊCH,,8/18/2023
EP2406-0096,6/29/2024,Nguyễn Dũng Trung,Theo bộ phận,SO2406-0015 + PO TỔNG DW,HAT-EMH06044,Hạt màu beige (nâu đất) EMH06044.,KG,300,1,KG,300,SO2406-0015,,7/5/2024
EP2309-0089,9/22/2023,Nguyễn Dũng Trung,Theo bộ phận,"HẠT MÀU
3 CONT TÚI PERU
SO2309-0051
SO2309-0052
SO2309-0053",HAT-EMH4022,Hạt màu đỏ EMH4022 - Châu âu,KG,425,1,KG,425,3 CONT TÚI PERU,,9/29/2023
EP2307-0035,7/12/2023,Nguyễn Dũng Trung,Theo bộ phận,PERU TÚI 3 CONT THÁNG 08,HAT-EMH4022,Hạt màu đỏ EMH4022 - Châu âu,KG,400,1,KG,400,PERU TÚI 3 CONT THÁNG 08,,7/14/2023
EP2312-0046,12/14/2023,Nguyễn Dũng Trung,Theo bộ phận,"PERU 6 CONT ( 3 CUỘN, 3 BAO)
HANWA",HAT-EMH4022,Hạt màu đỏ EMH4022 - Châu âu,KG,175,1,KG,175,PERU,,12/20/2023
EP2312-0015,12/5/2023,Nguyễn Dũng Trung,Theo bộ phận,HẠT MÀU + PHỤ DA,HAT-EMH4022,Hạt màu đỏ EMH4022 - Châu âu,KG,450,1,KG,450,"SO2311-0039-PERU
SO2312-0001-PERU
SO2312-0002-PERU",,12/15/2023
EP2404-0037,4/11/2024,Nguyễn Dũng Trung,Theo bộ phận,"Hạt màu đen mã số CB105 (Tân Hùng Cơ)
Hạt màu đỏ EMH4022 - Châu âu
Hạt màu vàng EMP2014(C. Âu)",HAT-EMH4022,Hạt màu đỏ EMH4022 - Châu âu,KG,100,1,KG,100,SO2404-0017 - PERU [SỢI TREO GIÀN],,4/15/2024
EP2312-0046,12/14/2023,Nguyễn Dũng Trung,Theo bộ phận,"PERU 6 CONT ( 3 CUỘN, 3 BAO)
HANWA",HAT-EMH5022,Hạt màu XANH NGỌC EMH5022. [EuP],KG,60,1,KG,60,PERU,,12/20/2023
EP2312-0015,12/5/2023,Nguyễn Dũng Trung,Theo bộ phận,HẠT MÀU + PHỤ DA,HAT-EMH5022,Hạt màu XANH NGỌC EMH5022. [EuP],KG,175,1,KG,175,"SO2311-0039-PERU
SO2312-0001-PERU
SO2312-0002-PERU",,12/15/2023
EP2307-0035,7/12/2023,Nguyễn Dũng Trung,Theo bộ phận,PERU TÚI 3 CONT THÁNG 08,HAT-EMH5022,Hạt màu XANH NGỌC EMH5022. [EuP],KG,150,1,KG,150,PERU TÚI 3 CONT THÁNG 08,,7/18/2023
EP2309-0089,9/22/2023,Nguyễn Dũng Trung,Theo bộ phận,"HẠT MÀU
3 CONT TÚI PERU
SO2309-0051
SO2309-0052
SO2309-0053",HAT-EMH5022,Hạt màu XANH NGỌC EMH5022. [EuP],KG,175,1,KG,175,3 CONT TÚI PERU,,9/29/2023
EP2309-0058,9/15/2023,Nguyễn Dũng Trung,Theo bộ phận,"SO2309-0035 - AGRIFEED
DONGWON DỆT BỔ SUNG
SO2309-0030 - DONGWON
JUNIPACK + TỒN",HAT-EMH55196,Hạt màu xanh lá EMH55196. [EUP] [376C],KG,100,1,KG,100,DONGWON DỆT BỔ SUNG,,9/19/2023
EP2308-0067,8/18/2023,Nguyễn Dũng Trung,Theo bộ phận,HANWA - HARVEST - SANPOLY - HALSTON - TƯ TRÚC - MATANG - DONGWON,HAT-EMH55196,Hạt màu xanh lá EMH55196. [EUP] [376C],KG,50,1,KG,50,DONGWON - PO8 - PO9,,8/23/2022
EP2308-0080,8/23/2023,Nguyễn Dũng Trung,Theo bộ phận,DONGWON - PO8 - PO9 - PO10 - PO11 - PO12,HAT-EMH55196,Hạt màu xanh lá EMH55196. [EUP] [376C],KG,50,1,KG,50,DONGWON - PO8 - PO9,,8/28/2023
EP2305-0074,5/18/2023,Nguyễn Dũng Trung,Theo bộ phận,"SO2305-0026	DONGWON
Hạt màu",HAT-EMH55196,Hạt màu xanh lá EMH55196. [EUP] [376C],KG,30,1,KG,30,SO2305-0026,,5/26/2023
EP2404-0077,4/25/2024,Nguyễn Dũng Trung,Theo bộ phận,SO2404-0034 - UNIPACK,HAT-EMH55196,Hạt màu xanh lá EMH55196. [EUP] [376C],KG,100,1,KG,100,SO2404-0034 - UNIPACK,,5/2/2024
EP2407-0032,7/9/2024,Nguyễn Dũng Trung,Theo bộ phận,"DÂY CỘT BAO
[SMY] Ống giấy dài 127cm (+1)
HAT-TACKS-JB
Chỉ may PP 600D
Chỉ may PP 1200D
Pallet gỗ xuất khẩu
Hạt màu xanh",HAT-EMH55196,Hạt màu xanh lá EMH55196. [EUP] [376C],KG,60,1,KG,60,SO2407-0021,,7/16/2024
EP2406-0005,6/5/2024,Nguyễn Dũng Trung,Theo bộ phận,DW - PO TỔNG,HAT-EMH55196,Hạt màu xanh lá EMH55196. [EUP] [376C],KG,100,1,KG,100,DW - PO TỔNG,,6/8/2024
EP2405-0097,5/28/2024,Nguyễn Dũng Trung,Theo bộ phận,"DÂY CỘT BAO
Hạt Taical kéo sợi
Hạt phụ gia MV8C (Châu Âu)
V....v.....",HAT-EMH77197,Hạt màu xanh dương EMH77197. [EUP] [2195C],KG,300,1,KG,300,SO2405-0032,,6/14/2024
EP2406-0047,6/14/2024,Nguyễn Dũng Trung,Theo bộ phận,"HAT-MVCA-2014
HAT-EMPP-MF
HAT-EMH77197
HAT-EMPE0033K
HAT-TACKS-JB
HAT-UV881C
BAO-048075G13HDPE.DW
BAO-048075G19LDPE.DW",HAT-EMH77197,Hạt màu xanh dương EMH77197. [EUP] [2195C],KG,270,1,KG,270,SO2406-0023,,6/19/2024
EP2404-0014,4/4/2024,Nguyễn Dũng Trung,Theo bộ phận,"Taical T4
SO2403-0065 - PERU [KHTK TỒN KHO]",HAT-EMH77197,Hạt màu xanh dương EMH77197. [EUP] [2195C],KG,175,1,KG,175,SO2403-0065 - PERU [KHTK TỒN KHO],,4/8/2024
EP2312-0046,12/14/2023,Nguyễn Dũng Trung,Theo bộ phận,"PERU 6 CONT ( 3 CUỘN, 3 BAO)
HANWA",HAT-EMH77197,Hạt màu xanh dương EMH77197. [EUP] [2195C],KG,150,1,KG,150,PERU,,12/20/2023
EP2312-0046,12/14/2023,Nguyễn Dũng Trung,Theo bộ phận,"PERU 6 CONT ( 3 CUỘN, 3 BAO)
HANWA",HAT-EMH77197,Hạt màu xanh dương EMH77197. [EUP] [2195C],KG,350,1,KG,350,PERU,,1/25/2024
EP2307-0043,7/13/2023,Nguyễn Dũng Trung,Theo bộ phận,PERU CUỘN 2 CONT THÁNG 08,HAT-EMH77197,Hạt màu xanh dương EMH77197. [EUP] [2195C],KG,375,1,KG,375,PERU CUỘN 2 CONT THÁNG 08,,7/18/2007
EP2307-0043,7/13/2023,Nguyễn Dũng Trung,Theo bộ phận,PERU CUỘN 2 CONT THÁNG 08,HAT-EMPE0033K,Hạt màu đen EMPE0033K - Châu Âu. [KB3],KG,275,1,KG,275,PERU CUỘN 2 CONT THÁNG 08,,7/18/2007
EP2307-0035,7/12/2023,Nguyễn Dũng Trung,Theo bộ phận,PERU TÚI 3 CONT THÁNG 08,HAT-EMPE0033K,Hạt màu đen EMPE0033K - Châu Âu. [KB3],KG,50,1,KG,50,PERU TÚI 3 CONT THÁNG 08,,7/18/2023
EP2305-0093,5/23/2023,Nguyễn Dũng Trung,Theo bộ phận,"SO2303-0012  	PERU
Bổ sung hạt màu do số lượng hạt tồn kho không đạt tiêu chuẩn",HAT-EMPE0033K,Hạt màu đen EMPE0033K - Châu Âu. [KB3],KG,50,1,KG,50,SO2303-0012,,5/26/2023
EP2311-0052,11/21/2023,Nguyễn Dũng Trung,Theo bộ phận,SO2311-0001 - UNIPACK,HAT-EMPE0033K,Hạt màu đen EMPE0033K - Châu Âu. [KB3],KG,150,1,KG,150,SO2311-0001 - UNIPACK,,11/23/2023
EP2311-0008,11/6/2023,Nguyễn Dũng Trung,Theo bộ phận,"SO2310-0054 - HARVEST (Tồn kho 80k 02/11/2023)
SO2311-0001 - UNIPACK",HAT-EMPE0033K,Hạt màu đen EMPE0033K - Châu Âu. [KB3],KG,200,1,KG,200,SO2311-0001 - UNIPACK,,11/10/2023
EP2404-0014,4/4/2024,Nguyễn Dũng Trung,Theo bộ phận,"Taical T4
SO2403-0065 - PERU [KHTK TỒN KHO]",HAT-EMPE0033K,Hạt màu đen EMPE0033K - Châu Âu. [KB3],KG,175,1,KG,175,SO2403-0065 - PERU [KHTK TỒN KHO],,4/8/2024
EP2404-0067,4/22/2024,Nguyễn Dũng Trung,Theo bộ phận,SO2404-0021 - UNIPACK,HAT-EMPE0033K,Hạt màu đen EMPE0033K - Châu Âu. [KB3],KG,200,1,KG,200,SO2404-0021 - UNIPACK,,4/25/2024
EP2406-0047,6/14/2024,Nguyễn Dũng Trung,Theo bộ phận,"HAT-MVCA-2014
HAT-EMPP-MF
HAT-EMH77197
HAT-EMPE0033K
HAT-TACKS-JB
HAT-UV881C
BAO-048075G13HDPE.DW
BAO-048075G19LDPE.DW",HAT-EMPE0033K,Hạt màu đen EMPE0033K - Châu Âu. [KB3],KG,350,1,KG,350,"SO2406-0022
SO2406-0023",,6/19/2024
EP2405-0097,5/28/2024,Nguyễn Dũng Trung,Theo bộ phận,"DÂY CỘT BAO
Hạt Taical kéo sợi
Hạt phụ gia MV8C (Châu Âu)
V....v.....",HAT-EMPE0033K,Hạt màu đen EMPE0033K - Châu Âu. [KB3],KG,150,1,KG,150,SO2405-0032,,6/14/2024
EP2407-0083,7/25/2024,Nguyễn Dũng Trung,Theo bộ phận,"Chỉ may PP 900D
HAT-EMMV8C
HAT-EMPP-MF
HAT-TAYOP10",HAT-EMPE0033K,Hạt màu đen EMPE0033K - Châu Âu. [KB3],KG,400,1,KG,400,SO2407-0052,,7/30/2024
EP2407-0083,7/25/2024,Nguyễn Dũng Trung,Theo bộ phận,"Chỉ may PP 900D
HAT-EMMV8C
HAT-EMPP-MF
HAT-TAYOP10",HAT-EMPP-MF,"Hạt ổn định MFI. (MF4X, MF5X, MF6X)",KG,3500,1,KG,3500,TỒN KHO,,8/10/2024
EP2407-0076,7/22/2024,Nguyễn Dũng Trung,Theo bộ phận,MF4X,HAT-EMPP-MF,"Hạt ổn định MFI. (MF4X, MF5X, MF6X)",KG,2000,1,KG,2000,MF4X,,7/24/2024
EP2406-0047,6/14/2024,Nguyễn Dũng Trung,Theo bộ phận,"HAT-MVCA-2014
HAT-EMPP-MF
HAT-EMH77197
HAT-EMPE0033K
HAT-TACKS-JB
HAT-UV881C
BAO-048075G13HDPE.DW
BAO-048075G19LDPE.DW",HAT-EMPP-MF,"Hạt ổn định MFI. (MF4X, MF5X, MF6X)",KG,2000,1,KG,2000,MF4X,,6/19/2024
EP2404-0062,4/18/2024,Nguyễn Dũng Trung,Theo bộ phận,"HAT-EMPP-MF
HAT-UV881C
HAT-EMMV8C",HAT-EMPP-MF,"Hạt ổn định MFI. (MF4X, MF5X, MF6X)",KG,2000,1,KG,2000,MF4X,,4/24/2024
EP2405-0049,5/15/2024,Nguyễn Dũng Trung,Theo bộ phận,"Hạt ổn định MFI. (MF4X, MF5X, MF6X)
Hạt UV 881C (Châu Âu)",HAT-EMPP-MF,"Hạt ổn định MFI. (MF4X, MF5X, MF6X)",KG,2000,1,KG,2000,MF4X,,5/20/2024
EP2403-0093,3/27/2024,Nguyễn Dũng Trung,Theo bộ phận,"SO2403-0061 - KCP + SLCL SO Tổng
SO2403-0061 - KCP + SLCL SO Tổng
MF4X - Tồn kho
SO2403-0058 - HARVEST PADI III",HAT-EMPP-MF,"Hạt ổn định MFI. (MF4X, MF5X, MF6X)",KG,1000,1,KG,1000,MF4X - Tồn kho,,4/1/2024
EP2312-0046,12/14/2023,Nguyễn Dũng Trung,Theo bộ phận,"PERU 6 CONT ( 3 CUỘN, 3 BAO)
HANWA",HAT-EMPP-MF,"Hạt ổn định MFI. (MF4X, MF5X, MF6X)",KG,240,1,KG,240,PERU,,1/25/2024
EP2312-0015,12/5/2023,Nguyễn Dũng Trung,Theo bộ phận,HẠT MÀU + PHỤ DA,HAT-EMPP-MF,"Hạt ổn định MFI. (MF4X, MF5X, MF6X)",KG,300,1,KG,300,"SO2311-0039-PERU
SO2312-0001-PERU
SO2312-0002-PERU",,12/15/2023
EP2401-0085,1/23/2024,Nguyễn Dũng Trung,Theo bộ phận,"Hạt ổn định MFI. (MF4X, MF5X, MF6X)",HAT-EMPP-MF,"Hạt ổn định MFI. (MF4X, MF5X, MF6X)",KG,2059,1,KG,2059,SX đề xuất,,2/2/2024
EP2307-0035,7/12/2023,Nguyễn Dũng Trung,Theo bộ phận,PERU TÚI 3 CONT THÁNG 08,HAT-EMPP-MF,"Hạt ổn định MFI. (MF4X, MF5X, MF6X)",KG,100,1,KG,100,PERU TÚI 3 CONT THÁNG 08,,7/18/2023
EP2309-0092,9/22/2023,Nguyễn Dũng Trung,Theo bộ phận,"3 CONT TÚI PERU
SO2309-0051
SO2309-0052
SO2309-0053",HAT-EMPP-MF,"Hạt ổn định MFI. (MF4X, MF5X, MF6X)",KG,75,1,KG,75,3 CONT TÚI PERU,,9/29/2023
EP2309-0022,9/6/2023,Nguyễn Dũng Trung,Theo bộ phận,DONGWON - PO10 - PO11 - PO12,HAT-EVA,"Hạt nhựa EVA: H2181, 7350M...",KG,1450,1,KG,1450,Bổ sung kế hoạch về số lượng lớn,,9/8/2023
EP2310-0013,10/4/2023,Nguyễn Dũng Trung,Theo bộ phận,"KHVT: EVA + TPP
SL: ĐẶT THEO CONT 20FT
DỰA VÀO MAIL NGÀY 30/09",HAT-EVA,"Hạt nhựa EVA: H2181, 7350M...",KG,3000,1,KG,3000,,,11/1/2023
EP2308-0104,8/31/2023,Nguyễn Dũng Trung,Theo bộ phận,HARVEST - UNIPACK,HAT-EVA,"Hạt nhựa EVA: H2181, 7350M...",KG,250,1,KG,250,SO2308-0041 - HARVEST,,9/8/2023
EP2307-0074,7/25/2023,Nguyễn Dũng Trung,Theo bộ phận,"SHENQ CHYUN
PERU CUỘN
HALSTON",HAT-EVA,"Hạt nhựa EVA: H2181, 7350M...",KG,375,1,KG,375,SO2307-0054 - HALSTON,,8/4/2023
