Ngày lập đơn,Số yêu cầu,Diễn giải,Yêu cầu mua hàng,Đơn đặt hàng,Mã mặt hàng,Tên mặt hàng,Đơn vị tính 1,Hệ số,Đơn vị tính 2,Số lượng (1),Số lượng (2)
7/17/2023,LN07/23-052,ĐẶT MỰC IN TRỰC TIẾP ĐƠN HÀNG CHINA (+ INTER: SO2307-0013+SO2307-0019 PO07/23-045.,PR23/07-030,PO07/23-045,MDM-FLXL3415C,Xanh Lá 3415C FL,KG,1,KG,50,50
7/24/2023,LN07/23-077,ĐẶT MỰC IN TRỰC TIẾP ĐƠN HÀNG 48 PASIR (SO2307-0018) VÀ DONGWON PO5 PO07/23-067.,PR23/07-044,PO07/23-067,MDM-FLXL3415C,Xanh Lá 3415C FL,KG,1,KG,75,75
8/7/2023,LN08/23-024,ĐẶT MỰC IN TRỰC TIẾP ĐƠN HÀNG INTER- MFM: SO2307-0078 +SO2307-0080,PR23/08-005,PO08/23-027,MDM-FLXL3415C,Xanh Lá 3415C FL,KG,1,KG,25,25
8/16/2023,LN08/23-058,ĐẶT MỰC IN TRỰC TIẾP ĐƠN HÀNG INTER-MFM-PO8(SO2308-0015+SO2308-0009+SO2308-0013+SO2308-0012),PR23/08-022,PO08/23-045,MDM-FLXL3415C,Xanh Lá 3415C FL,KG,1,KG,50,50
8/22/2023,LN08/23-085,ĐẶT MỰC IN TRỰC TIẾP ĐƠN HÀNG PRESTASI + INTER( SO2308-0027+SO2306-0006) PO08/23-064.,PR23/08-039,PO08/23-064,MDM-FLXL3415C,Xanh Lá 3415C FL,KG,1,KG,25,25
8/31/2023,LN08/23-127,ĐẶT MỰC IN TRỰC TIẾP ĐƠN HÀNG SARAWAK + 66 PASIR(SO2306-0031+SO2308-0014),PR23/08-053,PO08/23-093,MDM-FLXL3415C,Xanh Lá 3415C FL,KG,1,KG,50,50
9/15/2023,LN09/23-052,"ĐẶT MỰC IN TRỰC TIẾP - ĐƠN HÀNG DONGWON, UNIPACK, 66 MFM(SO2309-0009+SO2309-0003)",PR23/09-036,PO09/23-042,MDM-FLXL3415C,Xanh Lá 3415C FL,KG,1,KG,50,50
9/21/2023,LN09/23-083,"ĐẶT MỰC IN TRỰC TIẾP - ĐƠN HÀNG DONGWON, INTER, 48LUMUT(SO2309-0041, SO2309-0043, SO2309-0017)",PR23/09-055,PO09/23-069,MDM-FLXL3415C,Xanh Lá 3415C FL,KG,1,KG,25,25
9/27/2023,LN09/23-111,ĐĂT MỰC IN TRỰC TIẾP ĐƠN HÀNG PRESTASI-DONGWON.SO2306-0007+SO2309-0016,PR23/09-074,PO09/23-092,MDM-FLXL3415C,Xanh Lá 3415C FL,KG,1,KG,50,50
7/17/2023,LN07/23-045,ĐẶT MỰC IN GIÁN TIẾP ĐƠN HÀNG CHINA-SO2307-0013,PR23/07-034,PO07/23-046,MDM-FLREFBLUEGT,Xanh Dương Reflex Blue C gián tiếp,KG,1,KG,102,102
7/19/2023,LN07/23-061,ĐẶT MỰC IN GIÁN TIẾP ĐƠN HÀNG CHINA-SO2307-0013. PO23/07-046 ĐỀ NGHỊ NHẬP KHO THEO SL THỰC TẾ 391 KG.,PR23/07-034,PO07/23-046,MDM-FLREFBLUEGT,Xanh Dương Reflex Blue C gián tiếp,KG,1,KG,388,388
6/13/2023,LN06/23-037,Nhập kho theo PO23/06-042,PR23/06-026,PO06/23-042,MDM-FL39GT,Xanh Dương 39 FL gián tiếp,KG,1,KG,17,17
7/28/2023,LN07/23-095,DONGWON ĐẶT MỰC IN GIÁN TIẾP ĐƠN HÀNG CHINA VÀ 48 MFM(SO2307-0013-SO2307-0040),PR23/07-058,PO07/23-090,MDM-FL39GT,Xanh Dương 39 FL gián tiếp,KG,1,KG,16,16
6/6/2023,LN06/23-011,Nhập theo YCNK LN06/23-011 ứng với PO06/23-022,,PO06/23-022,MDM-FL39,Xanh Dương 39 FL,KG,1,KG,50,50
6/16/2023,LN06/23-057,Nhập kho theo PO06/23-061,PR23/06-034,PO06/23-061,MDM-FL39,Xanh Dương 39 FL,KG,1,KG,100,100
7/8/2023,LN07/23-027,Nhập kho theu YCNK LN07/23-027: Mua hàng theo YCMH số ĐẶT MỰC IN TRỰC TIẾP- ĐƠN HÀNG DONGWON PO 3+ PRESTASI + INTER,PR23/07-006,PO07/23-010,MDM-FL39,Xanh Dương 39 FL,KG,1,KG,50,50
7/24/2023,LN07/23-077,ĐẶT MỰC IN TRỰC TIẾP ĐƠN HÀNG 48 PASIR (SO2307-0018) VÀ DONGWON PO5 PO07/23-067.,PR23/07-044,PO07/23-067,MDM-FL39,Xanh Dương 39 FL,KG,1,KG,50,50
7/31/2023,LN07/23-113,ĐẶT MỰC IN TRỰC TIẾP ĐƠN HÀNG PRESTASI + DONGWON PO 7(SO2306-0005),PR23/07-064,PO07/23-095,MDM-FL39,Xanh Dương 39 FL,KG,1,KG,50,50
8/16/2023,LN08/23-058,ĐẶT MỰC IN TRỰC TIẾP ĐƠN HÀNG INTER-MFM-PO8(SO2308-0015+SO2308-0009+SO2308-0013+SO2308-0012),PR23/08-022,PO08/23-045,MDM-FL39,Xanh Dương 39 FL,KG,1,KG,50,50
8/31/2023,LN08/23-127,ĐẶT MỰC IN TRỰC TIẾP ĐƠN HÀNG SARAWAK + 66 PASIR(SO2306-0031+SO2308-0014),PR23/08-053,PO08/23-093,MDM-FL39,Xanh Dương 39 FL,KG,1,KG,25,25
9/8/2023,LN09/23-022,ĐẶT  MỰC IN GIÁN TIẾP ĐƠN HÀNG SÀI GÒN XANH-HARVEST-TRIỂN LÃM-SO2308-0041,PR23/09-016,PO09/23-025,MDM-FL39,Xanh Dương 39 FL,KG,1,KG,50,50
9/15/2023,LN09/23-052,"ĐẶT MỰC IN TRỰC TIẾP - ĐƠN HÀNG DONGWON, UNIPACK, 66 MFM(SO2309-0009+SO2309-0003)",PR23/09-036,PO09/23-042,MDM-FL39,Xanh Dương 39 FL,KG,1,KG,75,75
9/27/2023,LN09/23-111,ĐĂT MỰC IN TRỰC TIẾP ĐƠN HÀNG PRESTASI-DONGWON.SO2306-0007+SO2309-0016,PR23/09-074,PO09/23-092,MDM-FL39,Xanh Dương 39 FL,KG,1,KG,50,50
8/22/2023,LN08/23-089,ĐẶT MỰC IN TRỰC TIẾP ĐƠN HÀNG PRESTASI + INTER( SO2308-0027+SO2306-0006) PO08/23-065.,PR23/08-039,PO08/23-065,MDM-FLXD2763GT,Xanh Dương 2763 FL gián tiếp,KG,1,KG,51,51
9/15/2023,LN09/23-050,ĐẶT MỰC IN GIÁN TIẾP ĐƠN HÀNG 66 LUMUT-SO2309-0004,PR23/09-037,PO09/23-043,MDM-FLXD2763GT,Xanh Dương 2763 FL gián tiếp,KG,1,KG,32,32
9/15/2023,LN09/23-052,"ĐẶT MỰC IN TRỰC TIẾP - ĐƠN HÀNG DONGWON, UNIPACK, 66 MFM(SO2309-0009+SO2309-0003)",PR23/09-036,PO09/23-042,MDM-FLXD2763,Xanh Dương 2763 FL,KG,1,KG,25,25
6/12/2023,LN06/23-028,Nhập theo YCNK số LN06/23-028 ứng với IR2306-0015 và phiếu N/M số PI2306-0018,,PO06/23-042,5200110650000003,Xà phòng rửa chén,THUNG,1,THUNG,4,4
9/13/2023,LN09/23-044,ĐỀ XUẤT MUA HỘP GIẤY,PR23/09-034,PO09/23-046,5200110650000003,Xà phòng rửa chén,THUNG,1,THUNG,4,4
9/28/2023,LN09/23-114,Đơn hàng mãu Furukawa PO09/23-039/052/088.,PR23/09-080,PO09/23-090,5200110650000003,Xà phòng rửa chén,THUNG,1,THUNG,4,4
6/13/2023,LN06/23-038,Nhập kho theo PO23/06-008/019/030/033/041.,PR23/06-019,PO06/23-030,5200107220000000,WHITE TIGER,CM2,1,CM2,5478,5478
6/30/2023,LN06/23-115,ĐẶT KHẮC KHẮC 48-LUMUT (KHẮC THUẬN 4MM ).SO2306-0035-CAO SU KHẮC TRACKING 48-MFM ( 01 BỘ KHẮC THUẬN 4MM - 01 BỘ KHẮC NGHỊCH 5MM ),PR23/06-059,PO06/23-102,5200107190000000,WHEAT SHORT,CM2,1,CM2,1558,1558
6/6/2023,LN06/23-010,Nhập theo YCNK LN06/23-009 ứng với PO06/23-008 / PO06/23-021,PR23/05-0099,PO06/23-021,5200107180000000,wheat flour,CM2,1,CM2,4466,4466
9/26/2023,LN09/23-102,VT sữa chữa ben xe nâng cuộn xưởng 5.PO08/23-067/087/099 và PO09/23-035/065.,PR23/09-021,PO09/23-035,0902900360000000,Vòng sin phi trong 30x 5mm,CAI,1,CAI,4,4
9/26/2023,LN09/23-102,VT sữa chữa ben xe nâng cuộn xưởng 5.PO08/23-067/087/099 và PO09/23-035/065.,PR23/09-021,PO09/23-035,0902900350000000,Vòng sin phi trong 18x 5mm,CAI,1,CAI,4,4
6/14/2023,LN06/23-047,Nhập theo YCNK số LN06/23-047 ứng với IR2306-0023 và PI2306-0011 trên ERP,,PO06/23-054,5200111190000000,Vòng sin phi ngoài 40 x 2mm,CAI,1,CAI,60,60
7/21/2023,LN07/23-070,Mua hàng theo YCMH số PR23/07-014: Vật tư sửa chữa máy móc thiết bị phục vụ sản xuất. PO23/07-026/044/055.,PR23/07-014,PO07/23-026,0902900340000000,Vòng sin phi ngoài 125x3mm ( theo mẫu).,CAI,1,CAI,20,20
8/23/2023,LN08/23-092,Vật tư sử dụng sửa chữa lược cho máy dệt LOHIA. PO08/23-058.,PR23/08-033,PO08/23-058,5200111210000000,Vòng dệt khổ 182.5 đường kính vòng 116.1cm - khoan 6 lỗ.,CAI,1,CAI,1,1
8/23/2023,LN08/23-092,Vật tư sử dụng sửa chữa lược cho máy dệt LOHIA. PO08/23-058.,PR23/08-033,PO08/23-058,5200109102000000,Vòng dệt đường kính 650mm - khoan 6 lỗ.,CAI,1,CAI,1,1
8/3/2023,LN08/23-012,DONGWON [SO TỔNG] ĐH TAICAL LUCKY STAR 8k5 KG PO07/23-093 VÀ PO08/23-011.,PR23/08-004,PO08/23-011,5200111200000000,Vòng dệt đường kính 248mm -  khoan 3 lỗ 6mm (khoan bên hông). Chia làm 3 tai khoảng cách đều nhau.,CAI,1,CAI,4,4
9/22/2023,LN09/23-086,SO2309-0030 - DONGWON,PR23/09-059,PO09/23-075,5200111200000000,Vòng dệt đường kính 248mm -  khoan 3 lỗ 6mm (khoan bên hông). Chia làm 3 tai khoảng cách đều nhau.,CAI,1,CAI,1,1
9/22/2023,LN09/23-086,SO2309-0030 - DONGWON,PR23/09-059,PO09/23-075,5200111300000000,Vòng dệt đường kính 241mm-khoan 3 lỗ 6mm (khoan bên hông) chia làm 3 tai khoảng cách đều nhau,VONG,1,VONG,5,5
7/4/2023,LN07/23-005,Mua hàng theo yêu cầu số PR23/06-058,PR23/06-058,PO06/23-097,0916100062000000,Vòi rửa tay,BO,1,BO,5,5
7/18/2023,LN07/23-060,Mua hàng theo yêu cầu số PR23/06-058 PO06/23-097 và PO07/23-040.,PR23/07-025,PO07/23-040,0908900061000000,Vòi rửa Nước Lạnh INAX,BO,1,BO,8,8
7/18/2023,LN07/23-060,Mua hàng theo yêu cầu số PR23/06-058 PO06/23-097 và PO07/23-040.,PR23/07-025,PO07/23-040,0908900062000000,Vòi Nước nóng Lạnh INAX,BO,1,BO,2,2
7/14/2023,LN07/23-041,Vật tư lắp đặt đường nước và máy nén khì máy sợi số 2 PO06/23-118/PO07/23-032.,PR23/06-068,PO06/23-118,090300025000000,Vít đuôi cá đầu dù 4x15mm,BICH,1,BICH,2,2
9/6/2023,LN09/23-016,Vật tư cải tạo lại máy in cuộn số 5 theo đề xuất. PO08/23-087/099.,PR23/08-050,PO08/23-087,0903000080000000,Vít đầu dù đuôi cá 4x15mm,BICH,1,BICH,1,1
8/5/2023,LN08/23-021,Mua dầu Sử dụng cho xe nâng và  vật tư chống dột PO08/23-010.,PR23/07-065,PO08/23-010,0905501940000000,VÍT BẮN TÔN 50mm,KG,1,KG,1,1
6/6/2023,LN06/23-011,Nhập theo YCNK LN06/23-011 ứng với PO06/23-022,,PO06/23-022,MDM-FL23,Vàng Chanh 23 FL,KG,1,KG,150,150
6/16/2023,LN06/23-057,Nhập kho theo PO06/23-061,PR23/06-034,PO06/23-061,MDM-FL23,Vàng Chanh 23 FL,KG,1,KG,50,50
6/27/2023,LN06/23-106,Nhập theo YCNK số LN06/23-106 (Mua hàng theo PO06/23-105),PR23/06-064,PO06/23-105,MDM-FL23,Vàng Chanh 23 FL,KG,1,KG,50,50
7/8/2023,LN07/23-027,Nhập kho theu YCNK LN07/23-027: Mua hàng theo YCMH số ĐẶT MỰC IN TRỰC TIẾP- ĐƠN HÀNG DONGWON PO 3+ PRESTASI + INTER,PR23/07-006,PO07/23-010,MDM-FL23,Vàng Chanh 23 FL,KG,1,KG,50,50
7/17/2023,LN07/23-052,ĐẶT MỰC IN TRỰC TIẾP ĐƠN HÀNG CHINA (+ INTER: SO2307-0013+SO2307-0019 PO07/23-045.,PR23/07-030,PO07/23-045,MDM-FL23,Vàng Chanh 23 FL,KG,1,KG,50,50
7/31/2023,LN07/23-113,ĐẶT MỰC IN TRỰC TIẾP ĐƠN HÀNG PRESTASI + DONGWON PO 7(SO2306-0005),PR23/07-064,PO07/23-095,MDM-FL23,Vàng Chanh 23 FL,KG,1,KG,25,25
8/7/2023,LN08/23-024,ĐẶT MỰC IN TRỰC TIẾP ĐƠN HÀNG INTER- MFM: SO2307-0078 +SO2307-0080,PR23/08-005,PO08/23-027,MDM-FL23,Vàng Chanh 23 FL,KG,1,KG,50,50
8/16/2023,LN08/23-058,ĐẶT MỰC IN TRỰC TIẾP ĐƠN HÀNG INTER-MFM-PO8(SO2308-0015+SO2308-0009+SO2308-0013+SO2308-0012),PR23/08-022,PO08/23-045,MDM-FL23,Vàng Chanh 23 FL,KG,1,KG,50,50
9/1/2023,LN09/23-003,ĐẶT MỰC IN GIÀN TIẾP ĐƠN HANG 48 MFM- SO2308-0020,PR23/08-058,PO08/23-107,MDM-FL23,Vàng Chanh 23 FL,KG,1,KG,25,25
9/8/2023,LN09/23-022,ĐẶT  MỰC IN GIÁN TIẾP ĐƠN HÀNG SÀI GÒN XANH-HARVEST-TRIỂN LÃM-SO2308-0041,PR23/09-016,PO09/23-025,MDM-FL23,Vàng Chanh 23 FL,KG,1,KG,50,50
9/15/2023,LN09/23-052,"ĐẶT MỰC IN TRỰC TIẾP - ĐƠN HÀNG DONGWON, UNIPACK, 66 MFM(SO2309-0009+SO2309-0003)",PR23/09-036,PO09/23-042,MDM-FL23,Vàng Chanh 23 FL,KG,1,KG,25,25
9/27/2023,LN09/23-111,ĐĂT MỰC IN TRỰC TIẾP ĐƠN HÀNG PRESTASI-DONGWON.SO2306-0007+SO2309-0016,PR23/09-074,PO09/23-092,MDM-FL23,Vàng Chanh 23 FL,KG,1,KG,50,50
7/24/2023,LN07/23-077,ĐẶT MỰC IN TRỰC TIẾP ĐƠN HÀNG 48 PASIR (SO2307-0018) VÀ DONGWON PO5 PO07/23-067.,PR23/07-044,PO07/23-067,MDM-FX23,Vàng 23 FX,KG,1,KG,25,25
7/17/2023,LN07/23-046,ĐẶT MỰC IN GIÁN TIẾP ĐƠN HÀNG SÀI GÒN XANH.,PR23/07-026,PO07/23-037,MDM-FL012GT,Vàng 012C gián tiếp,KG,1,KG,34,34
9/26/2023,LN09/23-101,Đơn hàng mãu Furukawa PO08/23-099 và PO09/23-039/065.,PR23/09-029,PO09/23-039,VAN084,Van thau phi 27,CAI,1,CAI,30,30
7/21/2023,LN07/23-070,Mua hàng theo YCMH số PR23/07-014: Vật tư sửa chữa máy móc thiết bị phục vụ sản xuất. PO23/07-026/044/055.,PR23/07-038,PO07/23-055,0903901200000000,Van thau 1 chiều ren trong phi 34,CAI,1,CAI,2,2
7/28/2023,LN07/23-096,Mua vật tư lắp đặt công trình bếp lavabo nhà vệ sinh văn phòng mới PO07/23-040/091.,PR23/07-059,PO07/23-091,0903900800000000,VAN PHAO CƠ INOX PHI 27,Cái,1,Cái,1,1
9/21/2023,LN09/23-076,Vật Tư lắp dặt chậu rửa cho bếp PO09/23-061.,PR23/09-043,PO09/23-061,0903900450000000,VAN NHỰA TAY GẠT PHI 60,CAI,1,CAI,1,1
6/26/2023,LN06/23-099,Nhập kho theo PO06/23-095/103/107,PR23/06-065,PO06/23-107,0903900500000000,Van nhựa 34,CAI,1,CAI,2,2
7/4/2023,LN07/23-004,Vật tư lắp đặt đường nước và máy nén khì máy sợi số 2,PR23/06-068,PO06/23-115,0903900500000000,Van nhựa 34,CAI,1,CAI,3,3
7/4/2023,LN07/23-004,Vật tư lắp đặt đường nước và máy nén khì máy sợi số 2,PR23/06-068,PO06/23-115,0903901060000000,Van Inox tay gạt phi 49,CAI,1,CAI,2,2
7/4/2023,LN07/23-004,Vật tư lắp đặt đường nước và máy nén khì máy sợi số 2,PR23/06-068,PO06/23-115,0903901160000000,Van Inox 304 phi 27 tay gạt,CAI,1,CAI,26,26
7/18/2023,LN07/23-057,"Yêu cầu vật tư theo KH EP2307-0023,0024,0025.0026 PO06/23-089/125 và PO07/23-034.",PR23/06-075,PO06/23-125,0903900520000000,Van điều áp - lọc dầu - lọc nước SAU460,BO,1,BO,4,4
7/18/2023,LN07/23-055,Mua hàng theo YCMH số PR23/07-014: Vật tư sửa chữa máy móc thiết bị phục vụ sản xuất PO06/23-111/115 và PO07/23-023/026/029/034.,PR23/06-067,PO06/23-111,0902207340000000,Van điện từ khí nén Model: 4V210 - 08 ( Col: DC 24V - 3W - 125mA ),CAI,1,CAI,5,5
7/14/2023,LN07/23-041,Vật tư lắp đặt đường nước và máy nén khì máy sợi số 2 PO06/23-118/PO07/23-032.,PR23/06-071,PO06/23-118,0903900170000000,Van điện từ khí nén 5 ngã ren trong 21mm.  JANATICS Model: DS267SC63.- PR.Rangge: 2-10Bar- Ports: G1/2.,Cái,1,Cái,2,2
9/26/2023,LN09/23-103,"Vật tư sửa chữa máy ép kiện JUMBO số 2, máy in cuộn số 5, và máy sợi LH1. PO09/23-039/065.",PR23/09-053,PO09/23-065,0903900060000000,VAN CHỈNH ÁP KHÍ REN 10/ 6LY,Cái,1,Cái,10,10
6/5/2023,LN06/23-007,Nhập theo YCNK LN06/23-007 ứng với PO05/23-164,PR23/05-0088,PO05/23-164,0903901180000000,Val điện từ Model : 4V430C - 15,CAI,1,CAI,2,2
7/19/2023,LN07/23-063,Vật tư phục vụ sửa chữa MMTB PO23/07-034/055.,PR23/07-022,PO07/23-034,0909700010000000,Vải lau,Kg,1,Kg,800,800
9/4/2023,LN09/23-008,Vật tư thay thế và dự phòng: máy may Newlong (Máy cắt may tự động - May thủ công),PR23/09-001,PO09/23-001,0909700010000000,Vải lau,Kg,1,Kg,800,800
8/30/2023,LN08/23-133,"Nhân NVL gia công may KIÊN THẠNH
SO2308-0043
SO2309-0007",,,03CAT-4P005-01-VABD,"Vải bọc đai màu begie, tráng trong KT: 14x40cm; TL: 11g/cái.",Cái,0.01101,KG,10450,115
9/5/2023,LN09/23-121,"Nhận NVL gia công may KIÊN THẠNH
SO2308-0043
SO2309-0007",,,03CAT-4P005-01-VABD,"Vải bọc đai màu begie, tráng trong KT: 14x40cm; TL: 11g/cái.",Cái,0.01143,KG,350,4
8/26/2023,LN08/23-135,"Nhận NVL gia công may KIÊN THẠNH
SO2308-0043
SO2309-0007",,,03CAT-4P005-01-VABD,"Vải bọc đai màu begie, tráng trong KT: 14x40cm; TL: 11g/cái.",Cái,0.01083,KG,1200,13
7/12/2023,LN07/23-033,"Yêu cầu mua hàng theo KH EP2306-0100,0093.0095",PR23/06-075,PO06/23-125,0910000030000000,"Vải bố bọc ty, màu ngà vàng, định lượng 348gsm dùng cho Máy Thổi",M,1,M,20,20
8/30/2023,LN08/23-133,"Nhân NVL gia công may KIÊN THẠNH
SO2308-0043
SO2309-0007",,,03CAT-4P005-01-VCP0,"Vách ngăn chống phình PP màu trắng, có tráng, K57cmx125cm, khoét 6 lỗ 10x30cm, TL: 76.25g/cái.",Cái,0.05759,KG,2900,167
9/8/2023,LN09/23-120,"Nhận NVL gia công may KIÊN THẠNH
SO2308-0043
SO2309-0007",,,03CAT-4P005-01-VCP0,"Vách ngăn chống phình PP màu trắng, có tráng, K57cmx125cm, khoét 6 lỗ 10x30cm, TL: 76.25g/cái.",Cái,0.06691,KG,3617,242
8/26/2023,LN08/23-135,"Nhận NVL gia công may KIÊN THẠNH
SO2308-0043
SO2309-0007",,,03CAT-4P005-01-VCP0,"Vách ngăn chống phình PP màu trắng, có tráng, K57cmx125cm, khoét 6 lỗ 10x30cm, TL: 76.25g/cái.",Cái,0.05741,KG,3623,208
9/12/2023,LN09/23-122,"Nhận NVL gia công may KIÊN THẠNH
SO2308-0043
SO2309-0007",,,03CAT-4P005-01-VCP0,"Vách ngăn chống phình PP màu trắng, có tráng, K57cmx125cm, khoét 6 lỗ 10x30cm, TL: 76.25g/cái.",Cái,0.07625,KG,1900,144.875
9/6/2023,LN09/23-017,ĐẶT  KHẮCTƯ TRÚC (KHẮC NGHỊCH 5MM ):SO2307-0049 PO08/23-067 VÀ PO09/23-010.,PR23/08-040,PO08/23-067,0904000270000000,Ty ren thép đen M14x1000mm,CAY,1,CAY,2,2
7/14/2023,LN07/23-041,Vật tư lắp đặt đường nước và máy nén khì máy sợi số 2 PO06/23-118/PO07/23-032.,PR23/06-068,PO06/23-118,0904000040000000,Ty ren M8x1000mm - ( thép trắng ),M,1,M,50,50
7/18/2023,LN07/23-060,Mua hàng theo yêu cầu số PR23/06-058 PO06/23-097 và PO07/23-040.,PR23/06-058,PO06/23-097,0916100059000000,Ty phông tiểu nam ( đồng bộ ),BO,1,BO,3,3
9/12/2023,LN09/23-040,ĐẶT KHẮC TÚI XÁCH TRIỂN LÃM (KHẮC NGHỊCH 4mm ) POLYME,PR23/09-015,PO09/23-023,52001051100000000,TÚI XÁCH TAMATRA,CM2,1,CM2,920,920
8/30/2023,LN08/23-133,"Nhân NVL gia công may KIÊN THẠNH
SO2308-0043
SO2309-0007",,,10ZIP-4P005-01-0000,"Túi tài liệu Ziplock PE, W x L = 25cm x 35cm, TL: 15g/cái.",Cái,0.01621,KG,2900,47
8/28/2023,LN08/23-134,"Nhân NVL gia công may KIÊN THẠNH
SO2308-0043
SO2309-0007",,,10ZIP-4P005-01-0000,"Túi tài liệu Ziplock PE, W x L = 25cm x 35cm, TL: 15g/cái.",Cái,0.01625,KG,800,13
8/26/2023,LN08/23-135,"Nhận NVL gia công may KIÊN THẠNH
SO2308-0043
SO2309-0007",,,10ZIP-4P005-01-0000,"Túi tài liệu Ziplock PE, W x L = 25cm x 35cm, TL: 15g/cái.",Cái,0.01667,KG,300,5
7/4/2023,LN07/23-010,Mua hàng theo yêu cầu số PR23/06-053,PR23/06-053,PO06/23-098,BAO-048075G19LDPE.DW,"Túi LDPE, K48.0x75.0LL(+1.0/-0), TL: 19.0g/cái(+/-1.0).",CAI,0.019,KG,6000,114
7/4/2023,LN07/23-011,Mua hàng theo yêu cầu số PR23/06-053,PR23/06-053,PO06/23-098,BAO-048075G19LDPE.DW,"Túi LDPE, K48.0x75.0LL(+1.0/-0), TL: 19.0g/cái(+/-1.0).",CAI,0.019,KG,28500,541.5
